time_s,step,robots,moved_total,waited_total,conflicts_resolved,deadlocks_resolved
3.818,50,3,50,0,0,31
4.122,55,3,55,0,0,36
4.483,60,3,56,4,4,41
4.81,65,3,56,9,9,46
5.12,70,3,56,14,14,51
5.475,75,3,56,19,19,56
5.765,80,3,56,19,19,61
6.065,85,3,56,19,19,66
6.374,90,3,56,19,19,71
6.678,95,3,56,19,19,76
6.989,100,3,56,19,19,81
7.3,105,3,56,19,19,86
7.629,110,3,56,19,19,91
7.931,115,3,56,19,19,96
8.237,120,3,56,19,19,101
8.55,125,3,56,19,19,106
8.857,130,3,56,19,19,111
9.163,135,3,56,19,19,116
9.496,140,3,56,19,19,121
9.796,145,3,56,19,19,126
10.115,150,3,56,19,19,131
10.416,155,3,56,19,19,136
10.721,160,3,56,19,19,141
11.057,165,3,56,19,19,146
11.406,170,3,56,19,19,151
11.734,175,3,56,19,19,156
12.037,180,3,56,19,19,161
12.348,185,3,56,19,19,166
12.663,190,3,56,19,19,171
12.956,195,3,56,19,19,176
13.248,200,3,56,19,19,181
0.971,5,3,5,0,0,0
1.492,10,3,10,0,0,0
1.892,15,3,15,0,0,0
2.37,20,3,20,0,0,1
2.855,25,3,25,0,0,6
3.349,30,3,30,0,0,11
3.836,35,3,35,0,0,16
4.162,40,3,40,0,0,21
4.521,45,3,45,0,0,26
4.872,50,3,50,0,0,31
5.225,55,3,55,0,0,36
5.595,60,3,56,4,4,41
5.945,65,3,56,9,9,46
6.297,70,3,56,14,14,51
6.597,75,3,56,19,19,56
6.904,80,3,56,19,19,61
7.25,85,3,56,19,19,66
